True
Opening	00000387
Opening02	000009FC
start	00000AFF
enter	00000B0D
set_a	00000B64
item01	00000BD4
item02	00000BE0
fade	00000BEC
fm12a	00000BF4
Revenge01	00000E70
event01	00000F21
evacuate	00000F55
event02	00000FF5
event03	0000101D
set_b	00001045
cargo	000010B5
item03	00001292
item04	000012A8
item05	000012BE
item06	000012D4
fm12b	000012EA
event04	000012F2
set_c	0000131A
item07	00001362
fm12c	0000136E
event05	00001376
event06	0000139E
set_d	000013C6
fm12d	00001422
event07	0000142A
event08	00001452
event09	00001452
event10	00001452
set_e	0000147A
item08	00001512
fm12e	0000151E
event11	00001526
event12	00001526
event13	00001526
event14	0000154E
event15	0000154E
event16	0000154E
set_f	00001576
item09	000015FA
item10	00001606
fm12f	00001612
event17	0000161A
event18	0000161A
event19	0000161A
event20	00001642
set_g	0000166A
item11	000016C6
item12	000016D2
fm12g	000016DE
event21	000016E6
event22	0000170E
set_h	00001736
item13	0000177E
fm12h	0000178A
event23	000019FA
encount	00001A36
btl01	00001A7C
btl02	00001AA7
btl03	00001AD2
btl_start	00001AFD
run	00001B2A
out	00001B36
win	00001B62
e24_01	00001B98
lose	00001CA0
Stage02	00001D73
e24_02	00002071
Stage04	00002215
event99	00002426
e24_99	0000248C
Revenge04	0000275F
Lose03	00002817
Stage06	00002926
After_Diner	0000322C
test	00003616
ret	00003616
